# Gridlock wordlist — WORD<TAB>score<TAB>clue|clue|...
# See PLAN.md 3.1. Lint with: python -m gridlock validate-words

ACE	90	Tennis serve winner|Top pilot
ACT	88	Part of a play|Behave
ADD	86	Sum up
ADO	70	Fuss
AGE	88	Years lived
AGO	80	In the past
AID	82	Help
AIM	84	Goal|Point a weapon
AIR	88	What we breathe
ALE	80	Pub brew
ALL	85	Every bit
AMP	70	Guitar's loud friend
AND	80	Plus
ANT	85	Picnic pest
APE	82	Zoo primate|Mimic
APT	72	Fitting
ARC	80	Curved path
ARE	75	Exist, plurally
ARK	74	Noah's boat
ARM	86	Shoulder to hand
ART	86	Museum display
ASH	80	Fire's leftovers
ASK	86	Pose a question
ATE	78	Had dinner
AWE	78	Wonder
AXE	76	Chopping tool
AYE	72	Yes, at sea
BAD	86	Not good
BAG	86	Grocery carrier
BAN	80	Forbid
BAR	84	Where drinks are poured
BAT	86	Baseball club|Cave flier
BAY	78	Coastal inlet
BED	88	Place to sleep
BEE	84	Honey maker
BEG	78	Plead
BET	82	Wager
BID	78	Auction offer
BIG	86	Large
BIN	80	Storage box
BIT	82	Small piece
BOA	70	Constricting snake|Feathery scarf
BOG	70	Marshy ground
BOO	74	Ghost's greeting
BOW	80	Archery weapon|Take a curtain call
BOX	84	Cardboard container
BOY	82	Young lad
BUD	78	Flower to be
BUG	82	Insect|Software flaw
BUN	78	Burger holder|Hair knot
BUS	86	School ride
BUY	84	Purchase
BYE	76	Farewell
CAB	80	Yellow ride
CAN	86	Soda container|Be able to
CAP	82	Baseball hat
CAR	88	Driveway occupant
CAT	88	Purring pet
COB	68	Corn core
COD	74	Fish and chips fish
COG	72	Gear tooth
CON	70	Swindle
COO	66	Dove sound
COP	76	Officer on the beat
COT	74	Folding bed
COW	84	Dairy animal
COY	68	Playfully shy
CRY	84	Weep
CUB	76	Young bear
CUE	74	Pool stick|Signal to start
CUP	86	Coffee vessel
CUT	86	Slice
DAD	86	Father
DAM	76	River blocker
DAY	88	Sunrise to sunset
DEN	76	Cozy room|Lion's home
DEW	74	Morning moisture
DIG	82	Excavate
DIM	76	Not bright
DIN	66	Loud racket
DIP	76	Chip's companion|Brief swim
DOE	74	Female deer
DOG	88	Loyal pet
DOT	80	Small round mark
DRY	82	Not wet
DUE	76	Owed
DUG	72	Excavated
DUO	74	Pair
DYE	76	Fabric color changer
EAR	86	Sound catcher|Corn unit
EAT	86	Have a meal
EBB	66	Tide's retreat
EEL	76	Slippery swimmer
EGG	84	Breakfast staple
EGO	76	Sense of self
ELF	76	Santa's helper
ELK	72	Large antlered animal
ELM	74	Shade tree
EMU	72	Flightless bird
END	86	Finish
EON	70	Very long time
ERA	80	Historical stretch
EVE	72	Night before
EWE	70	Female sheep
EYE	86	Needle's hole|It may be keen
FAD	74	Passing craze
FAN	84	Cooling device|Team supporter
FAR	82	Distant
FAT	80	Not lean
FAX	70	Office relic
FED	72	Nourished
FEE	80	Charge for service
FEW	80	Not many
FIB	74	Little lie
FIG	74	Newton's fruit
FIN	74	Shark's feature
FIR	70	Evergreen tree
FIT	82	In good shape
FIX	82	Repair
FLU	76	Winter bug
FLY	84	Travel by air|Buzzing pest
FOE	74	Enemy
FOG	80	Low cloud
FOX	80	Sly woodland animal
FRY	76	Cook in oil
FUN	84	Good times
FUR	78	Animal coat
GAP	80	Space between
GAS	84	Fuel at the pump
GEL	74	Hair styling goo
GEM	80	Precious stone
GET	84	Obtain
GIG	74	Musician's job
GNU	66	African antelope
GOO	70	Sticky stuff
GOT	78	Received
GUM	78	Chew in a pack
GUN	74	Firearm
